VARIABLES = "x"	,"y"	,"u"
1.20	 0.93	 1.133190
1.20	 1.00	 1.114440
1.20	 1.07	 1.081042
1.20	 1.13	 1.061686
1.20	 1.20	 1.035197
1.20	 1.27	 1.023210
1.20	 1.33	 1.010212
1.20	 1.40	 1.005716
1.20	 1.47	 1.001847
1.20	 1.53	 1.000860
1.20	 1.60	 1.000191
1.20	 1.67	 1.000072
1.20	 1.73	 1.000010
1.20	 1.80	 1.000003
1.20	 1.87	 1.000000
1.20	 1.93	 1.000000
1.20	 2.00	 1.000000
1.27	 0.00	 1.000000
1.27	 0.07	 1.002162
1.27	 0.13	 1.006838
1.27	 0.20	 1.011198
1.27	 0.27	 1.023203
1.27	 0.33	 1.032186
1.27	 0.40	 1.051597
1.27	 0.47	 1.062980
1.27	 0.53	 1.082225
1.27	 0.60	 1.090221
1.27	 0.67	 1.101038
1.27	 0.73	 1.100783
1.27	 0.80	 1.101038
1.27	 0.87	 1.090221
1.27	 0.93	 1.082225
1.27	 1.00	 1.062980
1.27	 1.07	 1.051598
1.27	 1.13	 1.032187
1.27	 1.20	 1.023210
1.27	 1.27	 1.011219
1.27	 1.33	 1.006978
1.27	 1.40	 1.002481
1.27	 1.47	 1.001306
1.27	 1.53	 1.000319
1.27	 1.60	 1.000139
1.27	 1.67	 1.000021
1.27	 1.73	 1.000007
1.27	 1.80	 1.000000
1.27	 1.87	 1.000000
1.27	 1.93	 1.000000
1.27	 2.00	 1.000000
1.33	 0.00	 1.000000
1.33	 0.07	 1.001392
1.33	 0.13	 1.002700
1.33	 0.20	 1.006963
1.33	 0.27	 1.010211
1.33	 0.33	 1.019195
1.33	 0.40	 1.024597
1.33	 0.47	 1.036078
1.33	 0.53	 1.041313
1.33	 0.60	 1.050079
1.33	 0.67	 1.052140
1.33	 0.73	 1.055253
1.33	 0.80	 1.052140
1.33	 0.87	 1.050079
1.33	 0.93	 1.041313
1.33	 1.00	 1.036078
1.33	 1.07	 1.024597
1.33	 1.13	 1.019196
1.33	 1.20	 1.010212
1.33	 1.27	 1.006978
1.33	 1.33	 1.002735
1.33	 1.40	 1.001607
1.33	 1.47	 1.000432
1.33	 1.53	 1.000215
1.33	 1.60	 1.000035
1.33	 1.67	 1.000015
1.33	 1.73	 1.000001
1.33	 1.80	 1.000000
1.33	 1.87	 1.000000
1.33	 1.93	 1.000000
1.33	 2.00	 1.000000
1.40	 0.00	 1.000000
1.40	 0.07	 1.000430
1.40	 0.13	 1.001584
1.40	 0.20	 1.002479
1.40	 0.27	 1.005716
1.40	 0.33	 1.007694
1.40	 0.40	 1.013108
1.40	 0.47	 1.015674
1.40	 0.53	 1.021063
1.40	 0.60	 1.022825
1.40	 0.67	 1.025848
1.40	 0.73	 1.025593
1.40	 0.80	 1.025848
1.40	 0.87	 1.022825
1.40	 0.93	 1.021063
1.40	 1.00	 1.015674
1.40	 1.07	 1.013108
1.40	 1.13	 1.007694
1.40	 1.20	 1.005716
1.40	 1.27	 1.002481
1.40	 1.33	 1.001607
1.40	 1.40	 1.000478
1.40	 1.47	 1.000266
1.40	 1.53	 1.000048
1.40	 1.60	 1.000023
1.40	 1.67	 1.000002
1.40	 1.73	 1.000001
1.40	 1.80	 1.000000
1.40	 1.87	 1.000000
1.40	 1.93	 1.000000
1.40	 2.00	 1.000000
1.47	 0.00	 1.000000
1.47	 0.07	 1.000238
1.47	 0.13	 1.000430
1.47	 0.20	 1.001305
1.47	 0.27	 1.001847
