VARIABLES = "x"	,"y"	,"u"	,"v"
0.40	 0.35	 1.000000	 1.000000
0.40	 0.40	 1.000000	 1.000000
0.40	 0.45	 1.000001	 1.000001
0.40	 0.50	 1.000001	 1.000001
0.40	 0.55	 1.000001	 1.000001
0.40	 0.60	 1.000001	 1.000001
0.40	 0.65	 1.000002	 1.000002
0.40	 0.70	 1.000003	 1.000003
0.40	 0.75	 1.000004	 1.000004
0.40	 0.80	 1.000005	 1.000005
0.40	 0.85	 1.000005	 1.000005
0.40	 0.90	 1.000006	 1.000006
0.40	 0.95	 1.000006	 1.000006
0.40	 1.00	 1.000006	 1.000006
0.40	 1.05	 1.000006	 1.000006
0.40	 1.10	 1.000006	 1.000006
0.40	 1.15	 1.000006	 1.000006
0.40	 1.20	 1.000005	 1.000005
0.40	 1.25	 1.000005	 1.000005
0.40	 1.30	 1.000003	 1.000003
0.40	 1.35	 1.000003	 1.000003
0.40	 1.40	 1.000001	 1.000001
0.40	 1.45	 1.000000	 1.000000
0.40	 1.50	 1.000000	 1.000000
0.40	 1.55	 1.000000	 1.000000
0.40	 1.60	 1.000000	 1.000000
0.40	 1.65	 1.000000	 1.000000
0.40	 1.70	 1.000000	 1.000000
0.40	 1.75	 1.000000	 1.000000
0.40	 1.80	 1.000000	 1.000000
0.40	 1.85	 1.000000	 1.000000
0.40	 1.90	 1.000000	 1.000000
0.40	 1.95	 1.000000	 1.000000
0.40	 2.00	 1.000000	 1.000000
0.45	 0.00	 1.000000	 1.000000
0.45	 0.05	 1.000000	 1.000000
0.45	 0.10	 1.000000	 1.000000
0.45	 0.15	 1.000000	 1.000000
0.45	 0.20	 1.000000	 1.000000
0.45	 0.25	 1.000000	 1.000000
0.45	 0.30	 1.000000	 1.000000
0.45	 0.35	 1.000000	 1.000000
0.45	 0.40	 1.000001	 1.000001
0.45	 0.45	 1.000006	 1.000006
0.45	 0.50	 1.000040	 1.000040
0.45	 0.55	 1.000137	 1.000137
0.45	 0.60	 1.000324	 1.000324
0.45	 0.65	 1.000596	 1.000596
0.45	 0.70	 1.000914	 1.000914
0.45	 0.75	 1.001224	 1.001224
0.45	 0.80	 1.001485	 1.001485
0.45	 0.85	 1.001679	 1.001679
0.45	 0.90	 1.001807	 1.001807
0.45	 0.95	 1.001882	 1.001882
0.45	 1.00	 1.001923	 1.001923
0.45	 1.05	 1.001941	 1.001941
0.45	 1.10	 1.001931	 1.001931
0.45	 1.15	 1.001869	 1.001869
0.45	 1.20	 1.001721	 1.001721
0.45	 1.25	 1.001475	 1.001475
0.45	 1.30	 1.001158	 1.001158
0.45	 1.35	 1.000823	 1.000823
0.45	 1.40	 1.000529	 1.000529
0.45	 1.45	 1.000307	 1.000307
0.45	 1.50	 1.000162	 1.000162
0.45	 1.55	 1.000078	 1.000078
0.45	 1.60	 1.000034	 1.000034
0.45	 1.65	 1.000014	 1.000014
0.45	 1.70	 1.000005	 1.000005
0.45	 1.75	 1.000002	 1.000002
0.45	 1.80	 1.000000	 1.000000
0.45	 1.85	 1.000000	 1.000000
0.45	 1.90	 1.000000	 1.000000
0.45	 1.95	 1.000000	 1.000000
0.45	 2.00	 1.000000	 1.000000
0.50	 0.00	 1.000000	 1.000000
0.50	 0.05	 1.000000	 1.000000
0.50	 0.10	 1.000000	 1.000000
0.50	 0.15	 1.000000	 1.000000
0.50	 0.20	 1.000000	 1.000000
0.50	 0.25	 1.000000	 1.000000
0.50	 0.30	 1.000000	 1.000000
0.50	 0.35	 1.000000	 1.000000
0.50	 0.40	 1.000001	 1.000001
0.50	 0.45	 1.000040	 1.000040
0.50	 0.50	 1.000261	 1.000261
0.50	 0.55	 1.000884	 1.000884
0.50	 0.60	 1.002061	 1.002061
0.50	 0.65	 1.003737	 1.003737
0.50	 0.70	 1.005665	 1.005665
0.50	 0.75	 1.007536	 1.007536
0.50	 0.80	 1.009113	 1.009113
0.50	 0.85	 1.010290	 1.010290
0.50	 0.90	 1.011080	 1.011080
0.50	 0.95	 1.011560	 1.011560
0.50	 1.00	 1.011826	 1.011826
0.50	 1.05	 1.011949	 1.011949
0.50	 1.10	 1.011918	 1.011918
0.50	 1.15	 1.011600	 1.011600
0.50	 1.20	 1.010795	 1.010795
0.50	 1.25	 1.009383	 1.009383
0.50	 1.30	 1.007472	 1.007472
0.50	 1.35	 1.005387	 1.005387
0.50	 1.40	 1.003497	 1.003497
0.50	 1.45	 1.002045	 1.002045
0.50	 1.50	 1.001080	 1.001080
0.50	 1.55	 1.000518	 1.000518
0.50	 1.60	 1.000227	 1.000227
0.50	 1.65	 1.000091	 1.000091
0.50	 1.70	 1.000034	 1.000034
0.50	 1.75	 1.000012	 1.000012
0.50	 1.80	 1.000004	 1.000004
0.50	 1.85	 1.000001	 1.000001
0.50	 1.90	 1.000000	 1.000000
0.50	 1.95	 1.000000	 1.000000
0.50	 2.00	 1.000000	 1.000000
0.55	 0.00	 1.000000	 1.000000
0.55	 0.05	 1.000000	 1.000000
0.55	 0.10	 1.000000	 1.000000
0.55	 0.15	 1.000000	 1.000000
0.55	 0.20	 1.000000	 1.000000
0.55	 0.25	 1.000000	 1.000000
0.55	 0.30	 1.000000	 1.000000
0.55	 0.35	 1.000000	 1.000000
0.55	 0.40	 1.000001	 1.000001
0.55	 0.45	 1.000137	 1.000137
0.55	 0.50	 1.000884	 1.000884
0.55	 0.55	 1.002943	 1.002943
0.55	 0.60	 1.006730	 1.006730
0.55	 0.65	 1.012012	 1.012012
0.55	 0.70	 1.018006	 1.018006
0.55	 0.75	 1.023800	 1.023800
0.55	 0.80	 1.028709	 1.028709
0.55	 0.85	 1.032430	 1.032430
0.55	 0.90	 1.034984	 1.034984
0.55	 0.95	 1.036586	 1.036586
0.55	 1.00	 1.037510	 1.037510
